Suffix,Language,Meaning
chuk,Assamese,Corner / Quarter
juli,Assamese,Stream
pathar,Assamese,Field (Paddy Field)
pukhuri,Assamese,Pond
danga,Bengali,High Land
gachhi,Bengali,Tree / Plant
hat,Bengali,Market
para,Bengali,Neighborhood
pukur,Bengali,Pond
tola,Bengali,Quarter / Locality
tuli,Bengali,Quarter / Locality
ghat,Bengali/Hindi,River Landing / Steps
agrahara,Kannada,Unknown
aram,Kannada,Unknown
byrathi,Kannada,Unknown
ere,Kannada,Unknown
giri,Kannada,Hill
godi,Kannada,Unknown
godi,Kannada,Unknown
halli,Kannada,Village
kere,Kannada,Lake
mangala,Kannada,Unknown
palaya,Kannada,Unknown
palya,Kannada,An area ruled by a chief
palyam,Kannada,Unknown
pet,Kannada,Market
pete,Kannada,Market
sandra,Kannada,Lake Bed
ur,Kannada,Settlement
uru,Kannada,Settlement
Area,English,Area
block,English,Admin Block
city,English,City
colony,English,Settlement
east,English,Direction
enclave,English,Enclave
estate,English,Unknown
extension,English,Extended neighbourhood
field,English,An area of open land
garden,English,Garden
gardens,English,Garden
camp,English,Cantonment
gate,English,Gate
hill,English,Hill
hills,English,Hill
layout,English,Planned Area
lines,English,Unknown
orchard,English,Unknown
park,English,Park
phase,English,Phase
bungalows,English,Bungalows
Compound,English,Gated area
Point,English,Location
sector,English,Sector
society,English,Society
stage,English,Stage
town,English,Town
township,English,Township
village,English,Village
west,English,Direction
gam,Gujarati,Village
kuva,Gujarati,Well
no,Gujarati,Of (Possessive)
pol,Gujarati,Housing Cluster / Gated Street
vad,Gujarati,Banyan Tree / Enclosure
chok,Gujarati / Hindi,Square / Courtyard / Marketplace
chowk,Gujarati / Hindi,Square / Courtyard / Marketplace
nagari,Hindi,City
bazaar,Hindi,Market
bazar,Hindi,Market
Mandir,Hindi,Temple
Scheme,English,Layout
khera,Hindi,Mound / Village
bari,Hindi/Rajasthani,Garden / Enclosure
garh,Hindi/Rajasthani,Fort
bowli,Hindi/Urdu,Stepwell
ganj,Persian/Urdu,Market / Trading Post
bhat,Konkani,Rice Field / Estate
em,Konkani,Village / Settlement (Locative)
im,Konkani,Village / Settlement (Locative)
lim,Konkani,Village (from Halli)
vaddo,Konkani,Ward / Hamlet
Suffix,Language,Meaning
cheri,Malayalam,Settlement / Street
kadu,Malayalam,Forest
kara,Malayalam,Bank / Shore / Land
kulam,Malayalam,Pond
mattom,Malayalam,Field / Meadow
pally,Malayalam,A settlement associated with non-hindu shrines
pilly,Malayalam,A settlement associated with non-hindu shrines
paramba,Malayalam,Dry Land / Compound
sery,Malayalam,Settlement / Street
thura,Malayalam,Harbor / Port
mukh,Malayalam/Sanskrit,Face / Mouth (River)
budruk,Marathi,Greater / Senior (Village suffix)
bandar,Marathi,Harbor / Port
Bunder,Marathi,Harbor / Port
chawl,Marathi,Tenement housing 
gaon,Marathi,Village
khind,Marathi,Mountain Pass
naka,Marathi,Street corner
gaothan,Marathi,Site of a village
peth,Marathi,Ward / Sector / Market
deo,Marathi,Unknown
tekdi,Marathi,Hill
vali,Marathi,Town
wara,Marathi,Unknown
wada,Marathi,Ground surrounded by large structures
wadi,Marathi,Ground surrounded by large structures
pada,Marathi,Hamlet / Village
bagh,Persian,Garden
bagh ,Persian,Garden
baug,Persian,Garden
kalan,Persian,Big (Senior)
khurd,Persian,Small (Junior)
qila,Persian,Fort
sarai,Persian,Inn / Rest House
bad,Persian/Urdu,City (Abad)
ner,Rajasthani,City / Place
sar,Rajasthani,Lake / Pond
war,Rajasthani,Region / Enclosure / Ward
wara,Rajasthani,Region / Enclosure / Ward
devi,Sanskrit,Goddess
dham,Sanskrit,Divine abode
eshwar,Sanskrit,God or divine figure
Ghat,Sanskrit,Flight of steps leading to a river
nagar,Sanskrit,City
nagara,Sanskrit,City
oli,Sanskrit,Village
pada,Sanskrit,Hamlet
pakhadi,Sanskrit,Side/Quarter
pore,Sanskrit,City/Town
pur,Sanskrit,City / Fort
pura,Sanskrit,City/Town
puram,Sanskrit,City/Town
van,Sanskrit,Garden
kunj,Sanskrit/Hindi,Grove / Arbor / Garden
marg,Sanskrit/Hindi,Road / Path
vas,Sanskrit/Hindi,Dwelling / Residence
vihar,Sanskrit/Hindi,Abode / Garden / Monastery
akkam,Tamil,Settlement
eri,Tamil,Lake
kuppam,Tamil,Fishing Hamlet
malai,Tamil,Hill / Mount
pakkam,Tamil,Seaside Village / Coastal Settlement
pettai,Tamil,District / Market / Suburb
thangal,Tamil,Tank / Lake
guda,Telugu,Hamlet / Village
gudem,Telugu,Hamlet / Village
kunta,Telugu,Pond
met,Telugu,Height / Hill
patnam,Telugu,Port / Town
guppe,Kannada,Elevated grounds
gudi,Kannada,Unknown
Kundi,Kannada,Unknown
Mohalla,Persian,Neighborhood
Mahal,Urdu,A palace/large mansion
market,English,Market
quarters,English,Part of a town 
square,English,Open space in a town
Zone,English,An area different from surrounding
Circle,English,A flat round area
Plantation,English,An area of land where trees are grown for production
Complex,English,Group of connected buildings
Kendra,Hindi,Centre for some activity
Chowki,Hindi,Police station
Gutta,Telugu,Small hill
Hauz,Persian/Urdu,A man-made water reservoir
Puri,Sanskrit,City / Fort
Basti,Hindi/Urdu,Settlement
Darwaza,Hindi/Urdu,Area around a fort gate
Darwaja,Hindi/Urdu,Area around a fort gate
Maidan,Hindi/Urdu,Ground
Gunj,Persian/Urdu,Market / Trading Post
Basthi,Hindi/Urdu,Settlement
Cherry,Malayalam,A residential area or a settlement
Cheri,Malayalam,A residential area or a settlement
Sherry,Malayalam,A residential area or a settlement
pady,Malayalam,Village / Settlement
dam,Malayalam,Unknown
Fort,English,Fort
ngad,Malayalam,Market (probably)
Chira,Malayalam,Dam or bund constructed to hold back water
Vattom,Malayalam,Settlement area
vathy,Malayalam,Unknown
Puzha,Malayalam,River
Pattanam,Malayalam,Seaside Village / Coastal Settlement
Alam,Malayalam,Region / Locality
ruthy,Malayalam,Unknown
oor,Malayalam,Town / Village
ur,Malayalam,Town / Village
dam,Malayalam,Dam or bund constructed to hold back water (probably)
