lemma,variant,language,language_family,colour_family,semantic_category,semantic_group,meaning,confidence,source,notes
bazaar,bazaar,Hindi,Indo-Aryan,red,commerce,built_social,Market,attested,,
bazaar,bazar,Hindi,Indo-Aryan,red,commerce,built_social,Market,attested,,
chowk,chok,Gujarati / Hindi,Indo-Aryan,red,commerce,built_social,Square / Courtyard / Marketplace,attested,,
chowk,chowk,Gujarati / Hindi,Indo-Aryan,red,commerce,built_social,Square / Courtyard / Marketplace,attested,,
ganj,ganj,Persian/Urdu,Perso-Arabic,purple,commerce,built_social,Market / Trading Post,attested,,
ganj,gunj,Persian/Urdu,Perso-Arabic,purple,commerce,built_social,Market / Trading Post,attested,,
hat,hat,Bengali,Indo-Aryan,red,commerce,built_social,Market,attested,,
market,market,English,English,blue,commerce,built_social,Market,attested,,
ngad,ngad,Malayalam,Dravidian,yellow,commerce,built_social,Market (probably),attested,,
pet,pet,Kannada,Dravidian,yellow,commerce,built_social,Market,attested,,
pet,pete,Kannada,Dravidian,yellow,commerce,built_social,Market,attested,,
pet,peth,Marathi,Indo-Aryan,red,commerce,built_social,Ward / Sector / Market,attested,,
pet,pettai,Tamil,Dravidian,yellow,commerce,built_social,District / Market / Suburb,attested,,
bungalows,bungalows,English,English,blue,dwelling,built_social,Bungalows,attested,,
chawl,chawl,Marathi,Indo-Aryan,red,dwelling,built_social,Tenement housing,attested,,
mahal,mahal,Urdu,Perso-Arabic,purple,dwelling,built_social,A palace/large mansion,attested,,
mohalla,mohalla,Persian,Perso-Arabic,purple,dwelling,built_social,Neighborhood,attested,,
pol,pol,Gujarati,Indo-Aryan,red,dwelling,built_social,Housing Cluster / Gated Street,attested,,
sarai,sarai,Persian,Perso-Arabic,purple,dwelling,built_social,Inn / Rest House,attested,,
vihar,vihar,Sanskrit/Hindi,Indo-Aryan,red,dwelling,built_social,Abode / Garden / Monastery,attested,,
wada,wada,Marathi,Indo-Aryan,red,dwelling,built_social,Ground surrounded by large structures,attested,,
wada,wadi,Marathi,Indo-Aryan,red,dwelling,built_social,Ground surrounded by large structures,attested,,
wada,wara,Marathi,Indo-Aryan,red,dwelling,built_social,Region / Enclosure / Ward,speculative,,also attested as Rajasthani
war,war,Rajasthani,Indo-Aryan,red,dwelling,built_social,Region / Enclosure / Ward,attested,,
bagh,bagh,Persian,Perso-Arabic,purple,flora_agriculture,land,Garden,attested,,
bagh,baug,Persian,Perso-Arabic,purple,flora_agriculture,land,Garden,attested,,
bari,bari,Hindi/Rajasthani,Indo-Aryan,red,flora_agriculture,land,Garden / Enclosure,attested,,
bhat,bhat,Konkani,Indo-Aryan,red,flora_agriculture,land,Rice Field / Estate,attested,,
field,field,English,English,blue,flora_agriculture,land,An area of open land,attested,,
gachhi,gachhi,Bengali,Indo-Aryan,red,flora_agriculture,land,Tree / Plant,attested,,
garden,garden,English,English,blue,flora_agriculture,land,Garden,attested,,
garden,gardens,English,English,blue,flora_agriculture,land,Garden,attested,,
kadu,kadu,Malayalam,Dravidian,yellow,flora_agriculture,land,Forest,attested,,
kara,kara,Malayalam,Dravidian,yellow,flora_agriculture,land,Bank / Shore / Land,attested,,
kaval,kaval,Kannada,Dravidian,yellow,flora_agriculture,land,Grazing land / reserved pasture,probable,,added in v2 lexicon expansion
kaval,kavalu,Kannada,Dravidian,yellow,flora_agriculture,land,Grazing land / reserved pasture,probable,,added in v2 lexicon expansion
kunj,kunj,Sanskrit/Hindi,Indo-Aryan,red,flora_agriculture,land,Grove / Arbor / Garden,attested,,
mattom,mattom,Malayalam,Dravidian,yellow,flora_agriculture,land,Field / Meadow,attested,,
mavu,mavu,Kannada,Dravidian,yellow,flora_agriculture,land,Mango tree,probable,,added in v2 lexicon expansion
orchard,orchard,English,English,blue,flora_agriculture,land,Unknown,speculative,,
paramba,paramba,Malayalam,Dravidian,yellow,flora_agriculture,land,Dry Land / Compound,attested,,
park,park,English,English,blue,flora_agriculture,land,Park,attested,,
pathar,pathar,Assamese,Indo-Aryan,red,flora_agriculture,land,Field (Paddy Field),attested,,
plantation,plantation,English,English,blue,flora_agriculture,land,An area of land where trees are grown for production,attested,,
thota,thota,Kannada,Dravidian,yellow,flora_agriculture,land,Grove / orchard / garden,attested,,added in v2 lexicon expansion
vad,vad,Gujarati,Indo-Aryan,red,flora_agriculture,land,Banyan Tree / Enclosure,attested,,
van,van,Sanskrit,Indo-Aryan,red,flora_agriculture,land,Garden,attested,,
darwaza,darwaja,Hindi/Urdu,Indo-Aryan,red,fortification,built_social,Area around a fort gate,attested,,
darwaza,darwaza,Hindi/Urdu,Indo-Aryan,red,fortification,built_social,Area around a fort gate,attested,,
fort,fort,English,English,blue,fortification,built_social,Fort,attested,,
garh,garh,Hindi/Rajasthani,Indo-Aryan,red,fortification,built_social,Fort,attested,,
gate,gate,English,English,blue,fortification,built_social,Gate,attested,,
kote,kote,Kannada,Dravidian,yellow,fortification,built_social,Fort,attested,,added in v2 lexicon expansion
qila,qila,Persian,Perso-Arabic,purple,fortification,built_social,Fort,attested,,
